,X,Y,OBJECTID,GLOBALID,FIREOCCURID,CN,REVDATE,FIRENAME,COMPLEXNAME,FIREYEAR,UNIQFIREID,SOFIRENUM,LOCALFIRENUM,REPORTINGUNIT,DISCOVERYDATETIME,SIZECLASS,TOTALACRES,STATCAUSE,COMMENTS,DATASOURCE,FIREOUTDATETIME,OWNERAGENCY,UNITIDOWNER,PROTECTIONAGENCY,UNITIDPROTECT,LATDD83,LONGDD83,FIRETYPECATEGORY,POINTTYPE,PERIMEXISTS,FIRESTATQC,DBSOURCEID,DBSOURCEDATE
79554,-110.7225,34.30583333,329487491,{88E0F1F6-0A53-4221-AC54-49AEAB8B12FA},{8EB2C7F8-0ACA-4265-9C68-CAFB5881DE6F},6847304,2018/03/08 00:00:00+00,Gentry,,2017,2017-AZASF-000536,64,2017-064,301,2017/06/28 15:15:00+00,E,641,1 - Lightning,"ICT4 - D. Ruebush, ICT4(t) John O'Coy 6/28/17 - Air Attack - 9CC & 0TR 6/28/17",23,2017/07/17 15:30:00+00,USFS,AZASF,USFS,AZASF,34.30583,-110.7225,WF,Ignition,Y,Yes,301,2020/09/11 04:13:18+00
80298,-109.8602778,34.18166667,329488235,{4590D578-A244-4028-96BA-D5A0E0583377},{698FC86F-A7D3-488B-9237-2982854CD6E5},6742945,2017/01/20 00:00:00+00,Elk,,2016,2016-AZASF-000754,92,2016-092,301,2016/07/21 13:55:00+00,F,1822,1 - Lightning,,23,2016/08/26 11:40:00+00,USFS,AZASF,USFS,AZASF,34.18167,-109.86028,WF,Ignition,Y, ,301,2020/09/11 04:13:22+00
80732,-109.1591667,33.15861111,329488669,{7F9CEAA2-11F8-4518-863A-9857061A449F},{42F2AA36-4984-41E8-BBC6-1925ACF4A151},6739901,2017/01/20 00:00:00+00,Burro,,2016,2016-AZASF-000458,51,2016-051,301,2016/06/20 19:32:00+00,F,1174,1 - Lightning,Wetting rain occurred over the fire yesterday,23,2016/07/22 15:00:00+00,USFS,AZASF,USFS,AZASF,33.15861,-109.15917,WF,Ignition,Y, ,301,2020/09/11 04:13:24+00
82004,-111.0872222,34.47777778,329489941,{4A10C141-1885-431B-B769-FD7CFFA66700},{3345CD74-B687-418E-8B33-6EB189FD9CF1},6847083,2018/03/08 00:00:00+00,33 springs,,2017,2017-AZASF-001091,146,2017-146,301,2017/10/06 14:10:00+00,F,1703,1 - Lightning,Initial Attack ICT4 - Gabe Brooks 10/6/17 thru 10/8/17 @ 1444,23,2017/11/03 16:14:00+00,USFS,AZASF,USFS,AZASF,34.47778,-111.08722,WF,Ignition,Y,Yes,301,2020/09/11 04:13:31+00
83247,-105.5969,36.16056,329491184,{76D36193-7C33-4250-86B6-30F3D0345E28},,1494791,1999/11/30 00:00:00+00,Osha,,2011,2011-NMCAF-000036,36,36,302,2011/06/01 00:00:00+00,E,720,9 - Miscellaneous,,23,,USF,,,,36.16056,-105.5969,WF, ,Y, ,302,2020/09/11 04:13:49+00
83393,-106.1988889,36.61305556,329491330,{B8DA50BE-54EE-4D47-A683-EB0B416A2709},9223556D-A0A4-47E7-90CA-11ED0FD1EE5F,6812446,2018/02/28 10:26:15+00,Bonita,,2017,2017-NMCAF-000152,10,152,302,2017/06/03 17:32:00+00,G,7495,1 - Lightning,,23,2017/09/07 11:00:00+00,USFS,NMCAF,USFS,NMCAF,36.61306,-106.19889,WF,Ignition, , ,302,2020/09/11 04:13:49+00
83401,-105.4530556,36.19722222,329491338,{1B99FCB6-33E4-4EEC-B469-E8F1E0084478},cafb928e-2a7c-4231-bd53-fb24bddacd51,6907634,1999/11/30 00:00:00+00,Sardinas Canyon,,2018,2018-NMCAF-000457,35,457,302,2018/06/24 15:09:00+00,F,2337,9 - Miscellaneous,,23,2018/10/11 16:30:00+00,USFS,NMCAF,USFS,NMCAF,36.19722,-105.45306,WF,Ignition,Y,YES,302,2020/09/11 04:13:49+00
83471,-105.6066667,36.27888889,329491408,{F40EE8D8-5510-49BE-8A5E-ACA426002CBF},,6752901,1999/11/30 00:00:00+00,McGaffey,,2016,2016-NMCAF-000486,486,486,302,2016/07/24 00:00:00+00,E,525,1 - Lightning,,23,,USF,,,,36.27889,-105.60667,WF, ,Y, ,302,2020/09/11 04:13:49+00
84115,-106.2069,36.44944403,329492052,{13F293FF-015E-40CA-ACAC-EFF33370C1B2},5ae90462-0ff1-44a8-95bc-475eb464f948,6979553,2020/01/21 08:22:42+00,Francisquito,,2019,2019-NMCAF-000274,274,3,302,2019/07/13 21:32:00+00,F,2021,1 - Lightning,,23,2019/08/14 11:40:00+00,USFS,NMCAF,USFS,NMCAF,36.43583,-106.21194,WF,Ignition,Y,Yes,302,2020/09/11 04:13:53+00
84128,-106.2723801,36.50379818,329492065,{F10B444D-537B-403C-BFD1-A900203491D6},fb3f20df-feae-4083-a73a-b10c3b869117,6980385,2020/01/21 08:22:42+00,Gurule,,2019,2019-NMCAF-000148,148,1,302,2019/06/07 16:03:00+00,F,2360,1 - Lightning,,23,2019/07/22 16:03:00+00,USFS,NMCAF,USFS,NMCAF,36.5,-106.26667,WF,Ignition,Y,Yes,302,2020/09/11 04:13:53+00
